course_title,domain,sub_domain,level,duration,paid_free,price,url
Freelance Editor Marketing: Attract Your Ideal Clients,Arts and Humanities,Music and Art,Beginner,1,Paid,3056.1,https://www.coursera.org/learn/freelance-editor-marketing-attract-your-ideal-clients
Supply Chain Management for E-commerce,Business,Business Essentials,Beginner,1,Free,0,https://www.coursera.org/learn/supply-chain-management-for-e-commerce
"Agile Process, Project, and Program Controls",Business,Leadership and Management,Intermediate,1,Paid,3500.32,https://www.coursera.org/learn/agile-process-project-and-program-controls
Modern Efficiency: Use AI to Lead Productivity,Business,Leadership and Management,Beginner,1,Paid,3200.56,https://www.coursera.org/learn/modern-efficiency-use-ai-to-lead-productivity
Microsoft OneNote (Desktop App),Business,Business Essentials,Beginner,1,Paid,3906.96,https://www.coursera.org/learn/microsoft-onenote-desktop-app-lo091174
Logistic Regression in R for Public Health,Health,Public Health,Intermediate,1,Paid,3804.26,https://www.coursera.org/learn/logistic-regression-r-public-health
Foundations of Cybersecurity Operations,Information Technology,Security,Beginner,1,Paid,3259.84,https://www.coursera.org/learn/foundations-of-cybersecurity-operations
"Product Strategy: Lifecycle, Data Insights, Collaboration",Business,Business Strategy,Beginner,1,Paid,3240.64,https://www.coursera.org/learn/product-strategy-lifecycle-data-insights-collaboration
Run Campaign Projects,Business,Marketing,Beginner,1,Paid,3299.08,https://www.coursera.org/learn/run-campaign-projects
Emotional and Social Intelligence,Business,Business Essentials,Beginner,1,Paid,3083.66,https://www.coursera.org/learn/emotional-and-social-intelligence
Internet of Things: Sensing and Actuation From Devices,Physical Science and Engineering,Electrical Engineering,Beginner,2,Paid,3421.83,https://www.coursera.org/learn/internet-of-things-sensing-actuation
Analyze Systems & Analytics in Management Accounting,Business,Finance,Beginner,1,Free,0,https://www.coursera.org/learn/analyze-systems-data-analytics-management-accounting
Using Google Forms to Analyze User Research Data,Business,Business Strategy,Beginner,1,Paid,3376.74,https://www.coursera.org/learn/analyzing-user-data-in-google-forms
Intro to the Arctic,Physical Science and Engineering,Environmental Science and Sustainability,Beginner,1,Paid,3744.14,https://www.coursera.org/learn/intro-to-the-arctic
Harnessing Open Source LLMs and ChatGPT with Minimal Code,Data Science,Machine Learning,Beginner,1,Paid,3744.98,https://www.coursera.org/learn/packt-harnessing-open-source-llms-and-chatgpt-with-minimal-code-barzj
Supply chain management: Be global,Business,Business Strategy,Beginner,2,Paid,3862.71,https://www.coursera.org/learn/supply-chain-management-global
Leaders in Citizen Security and Justice Management,Social Sciences,Governance and Society,Beginner,2,Paid,3059.44,https://www.coursera.org/learn/leaders-in-citizen-security-and-justice-management
GLP-1 Medication Support Course for Fitness Professionals,Health,Nutrition,Beginner,1,Paid,3527.04,https://www.coursera.org/learn/glp-1-medication-support-fitness-wellness
Introduction to the Industrial Metaverse (IMV),Physical Science and Engineering,Electrical Engineering,Beginner,1,Free,0,https://www.coursera.org/learn/introduction-to-the-industrial-metaverse-imv
Contemporary Issues in World Politics,Social Sciences,Governance and Society,Beginner,1,Paid,3084.49,https://www.coursera.org/learn/contemporary-issues-in-world-politics
Jasper AI: Writing a Product Review Blog Post,Data Science,Machine Learning,Intermediate,1,Free,0,https://www.coursera.org/learn/jasper-ai-writing-a-product-review-blog-post-rudi-hinds
Scrum and Kanban Frameworks Roles and Best Practices,Business,Business Strategy,Beginner,1,Paid,3136.26,https://www.coursera.org/learn/scrum-and-kanban-frameworks-roles-and-best-practices
ARM Cortex (STM32) Fundamentals: Building Embedded Systems,Computer Science,Software Development,Intermediate,1,Paid,3509.5,https://www.coursera.org/learn/arm-cortex-fundamentals-building-embedded-systems
JavaScript DOM - Interactive and Dynamic Web Pages,Computer Science,Mobile and Web Development,Beginner,1,Paid,3832.65,https://www.coursera.org/learn/packt-javascript-dom-interactive-and-dynamic-web-pages-vlujw
"Build, Evaluate, and Perfect Marketing Dashboards",Business,Marketing,Beginner,1,Paid,3367.56,https://www.coursera.org/learn/build-evaluate-and-perfect-marketing-dashboards
High Performing PMOs,Business,Business Strategy,Beginner,1,Free,0,https://www.coursera.org/learn/high-performing-pmos
Inspiring and Motivating Individuals,Business,Leadership and Management,Beginner,1,Free,0,https://www.coursera.org/learn/motivate-people-teams
Responsive Design in Bootstrap: Create a Blog Homepage,Computer Science,Mobile and Web Development,Intermediate,1,Free,0,https://www.coursera.org/learn/responsive-design-in-bootstrap-create-a-blog-homepage
Getting Started with AWS Mainframe Modernization Service,Information Technology,Cloud Computing,Beginner,1,Paid,3577.14,https://www.coursera.org/learn/aws-getting-started-with-aws-mainframe-modernization-service
Careers in Sustainability,Physical Science and Engineering,Environmental Science and Sustainability,Beginner,1,Paid,3845.18,https://www.coursera.org/learn/sustainability-careers
Writing Skills for Engineering Leaders,Business,Leadership and Management,Beginner,1,Paid,3287.4,https://www.coursera.org/learn/engineering-writing
Merging Results from Different Explores in Looker,Information Technology,Cloud Computing,Beginner,1,Paid,3045.24,https://www.coursera.org/learn/googlecloud-merging-results-from-different-explores-in-looker-3vqzc
The Building Blocks of Nutrition for Fitness,Health,Nutrition,Beginner,1,Paid,2974.27,https://www.coursera.org/learn/nutrition-coach-building-blocks-fitness
"Creative AI: Sound, Music and Interaction",Computer Science,Algorithms,Beginner,1,Paid,2837.33,https://www.coursera.org/learn/creative-ai-sound
AI for Cybersecurity,Computer Science,Algorithms,Intermediate,1,Paid,4706.06,https://www.coursera.org/learn/ai-for-cybersecurity
Create Sales Charts in C++ Using Graphics Programming,Computer Science,Software Development,Beginner,1,Paid,3611.38,https://www.coursera.org/learn/create-sales-charts-cpp-graphics-programming
Developments of structural dynamics,Physical Science and Engineering,Physics and Astronomy,Intermediate,1,Paid,3994.64,https://www.coursera.org/learn/developments-of-structural-dynamics
Generative AI for Cybersecurity Professionals,Computer Science,Computer Security and Networks,Intermediate,1,Paid,4153.29,https://www.coursera.org/learn/generative-ai-cybersecurity-professionals
Safeguard LLM Outputs: Test and Evaluate,Computer Science,Software Development,Intermediate,1,Paid,3744.14,https://www.coursera.org/learn/safeguard-llm-outputs-test-and-evaluate
Apply TOSCA Automation in a Faculty Feedback System Project,Information Technology,Support and Operations,Beginner,1,Paid,2814.78,https://www.coursera.org/learn/apply-tosca-automation-faculty-feedback-system-project
Automate Agile Workflows and Project Backlogs,Business,Leadership and Management,Beginner,1,Paid,2777.21,https://www.coursera.org/learn/automate-agile-workflows-and-project-backlogs
JavaScript Data and Applications,Computer Science,Mobile and Web Development,Beginner,1,Paid,3577.98,https://www.coursera.org/learn/javascript-data-and-applications
Geodesign: Change Your World,Physical Science and Engineering,Environmental Science and Sustainability,Beginner,1,Paid,3275.7,https://www.coursera.org/learn/geodesign
"Anatomy, Physiology, and Biomechanics for Yoga Practice",Health,Patient Care,Intermediate,1,Paid,4686.02,https://www.coursera.org/learn/anatomy-physiology-biomechanics-yoga-practice
Introduction to FastAPI framework,Computer Science,Software Development,Intermediate,1,Paid,4644.27,https://www.coursera.org/learn/introduction-to-fastapi-framework
Mastering Advanced SQL Queries,Data Science,Data Analysis,Beginner,1,Paid,3860.2,https://www.coursera.org/learn/mastering-advanced-sql-queries
Implementing Canary Releases of TensorFlow Model Deployments with Kubernetes and Anthos Service Mesh,Information Technology,Cloud Computing,Intermediate,1,Free,0,https://www.coursera.org/learn/googlecloud-implementing-canary-releases-of-tensorflow-model-deployments-w-lflkd
Change Management Training for Leaders,Business,Leadership and Management,Intermediate,1,Free,0,https://www.coursera.org/learn/change-management-training-for-leaders
HTML & CSS Crash Course,Computer Science,Software Development,Beginner,1,Paid,3036.06,https://www.coursera.org/learn/html--css-crash-course
Detect & Respond to Mobile AI Threats,Computer Science,Mobile and Web Development,Intermediate,1,Paid,4115.72,https://www.coursera.org/learn/detect--respond-to-mobile-ai-threats-
The Art of Doing Electronics for Everyone,Information Technology,Data Management,Beginner,1,Paid,3828.48,https://www.coursera.org/learn/packt-the-art-of-doing-electronics-for-everyone-hulwl
Cybersecurity for Managers,Information Technology,Security,Beginner,1,Paid,3442.7,https://www.coursera.org/learn/cybersecurity-for-managers
Substance Painter to Unreal Engine 5 Masterclass,Computer Science,Design and Product,Beginner,1,Paid,3855.2,https://www.coursera.org/learn/packt-substance-painter-to-unreal-engine-5-masterclass-wz0ee
Agile Strategy for Competitive Advantage,Business,Business Strategy,Intermediate,1,Free,0,https://www.coursera.org/learn/agile-strategy-competitive-advantage
Vowels of American English Pronunciation,Language Learning,Learning English,Beginner,1,Paid,3061.94,https://www.coursera.org/learn/american-english-pronunciation-vowel-sounds
Coaching and Training Women,Health,Basic Science,Intermediate,1,Paid,4784.55,https://www.coursera.org/learn/coaching-and-training-women
Artificial Intelligence Industrial Control Systems Security,Information Technology,Security,Intermediate,1,Paid,3871.9,https://www.coursera.org/learn/artificial-intelligence-industrial-control-systems-security
Data Viz Using Tableau & Presenting With Storytelling,Data Science,Data Analysis,Beginner,1,Paid,2960.91,https://www.coursera.org/learn/data-viz-using-tableau-presenting-with-storytelling
"Write Dreamy, Heartfelt Poetry - Creative Writing",Arts and Humanities,Music and Art,Beginner,1,Free,0,https://www.coursera.org/learn/write-poetry
SQL for Data Science  (and Version Control with GitHub),Data Science,Data Analysis,Beginner,1,Free,0,https://www.coursera.org/learn/sql-for-data-science-and-version-control-with-github
A Practical Approach to Timeseries Forecasting Using Python,Data Science,Machine Learning,Intermediate,1,Paid,3480.28,https://www.coursera.org/learn/packt-a-practical-approach-to-timeseries-forecasting-using-python-kd3kj
Creating a Token Board with Microsoft PowerPoint,Social Sciences,Education,Beginner,1,Paid,3689.86,https://www.coursera.org/learn/creating-a-token-board-with-microsoft-powerpoint
Introduction to Quality Improvement in Healthcare,Health,Public Health,Beginner,1,Paid,3061.11,https://www.coursera.org/learn/intro-quality-improvement-healthcare-1
The Brain and Space,Health,Basic Science,Beginner,1,Paid,3270.7,https://www.coursera.org/learn/human-brain
Building Community Engagement Foundations,Business,Business Essentials,Beginner,1,Paid,2779.72,https://www.coursera.org/learn/building-community-engagement-foundations
Ace Salesforce Certified Tableau Desktop Foundations Exam,Information Technology,Data Management,Beginner,1,Paid,2829.82,https://www.coursera.org/learn/packt-ace-salesforce-certified-tableau-desktop-foundations-exam-k6md3
AI-Driven Electronic Health Records & Data Management,Health,Health Informatics,Intermediate,1,Free,0,https://www.coursera.org/learn/ai-driven-electronic-health-records--data-management
"Analytics, Law, and Athlete Representation",Business,Leadership and Management,Beginner,1,Paid,3552.92,https://www.coursera.org/learn/analytics-law-regulations-athlete-representation
Apply Urban Scale Mapping Techniques Using SketchUp,Computer Science,Design and Product,Beginner,1,Paid,3625.57,https://www.coursera.org/learn/apply-urban-scale-mapping-techniques-using-sketchup
